;bld_name;Techno;latitude;longitude;bld_azimut;cll_azimut;tilt;row_dist;N_panel;ratio;cll_layout;cll_alignment;Optimal tilt or max4dist;el cover ratio;el coverage;el production;el demand;th cover ratio;th coverage;th production;th demand;spec_prod_e;spec_prod_th;ICPe;ICPth
0;1.0;pvt;46.5098019;6.6617476;60.0;180.0;20.0;0.6;52.0;0.557142857142857;east-west;south;tilt;0.3713421694714561;12945.145868461415;30543.260590824808;34860.42505457078;0.33814201599108523;20942.61945856738;137444.6726587116;61934.38989587;254.98249747856136;1147.421238653526;60.20998078354146;97.40753236542967
1;1.0;pvt;46.5098019;6.6617476;60.0;150.0;20.0;0.6;60.0;0.6428571428571428;east-west;long;tilt;0.38450629454125057;13404.052863865982;35184.87528281932;34860.42505457078;0.34637864382477834;21452.749978246506;158331.93877268693;61934.38989587;254.56757310566945;1145.5540789755128;62.34443192495805;99.78023245696049
2;1.0;pvt;46.5098019;6.6617476;60.0;240.0;20.0;0.6;60.0;0.6428571428571428;east-west;short;tilt;0.3825471486248491;13335.7562044763;34949.711613987674;34860.42505457078;0.34502564203990455;21368.952638172323;157273.70226294457;61934.38989587;252.86613054047933;1137.8975874321573;62.02677304407582;99.39047738684802
3;1.0;pvt;46.5098019;6.6617476;60.0;180.0;0.0;0.6;46.0;0.4928571428571428;portrait;south;tilt;0.35415846119002203;12346.114493756877;27767.7564851498;34860.42505457078;0.32847155465838923;20343.685335915252;124954.90418317409;61934.38989587;262.0482580330955;1179.2171611489298;57.42378834305524;94.62179226007093
4;1.0;pvt;46.5098019;6.6617476;60.0;180.0;7.0;0.6;46.0;0.4928571428571428;portrait;south;max4dist;0.3581550461842963;12485.437145423995;29049.61117861906;34860.42505457078;0.33142061185546196;20526.333394183977;130723.25030378575;61934.38989587;274.14530266307173;1233.6538619838225;58.07180067639067;95.47131811248362
5;1.0;pvt;46.5098019;6.6617476;60.0;180.0;10.0;0.6;46.0;0.4928571428571428;portrait;south;tilt+10;0.35943875877787884;12530.18791208419;29516.99900044223;34860.42505457078;0.3322791902644424;20579.508924121947;132826.49550199002;61934.38989587;278.5561078572236;1253.5024853575062;58.27994377713576;95.71864615870672
6;1.0;pvt;46.5098019;6.6617476;60.0;180.0;20.0;0.8034164641279677;43.0;0.4607142857142857;portrait;south;tilt+20;0.35438659107970655;12354.067198678931;28673.59056976963;34860.42505457078;0.32942416382011114;20402.684603155714;129031.15756396331;61934.38989587;289.4755853447087;1302.640134051189;57.46077766827409;94.8962074565382
7;1.0;pvt;46.5098019;6.6617476;60.0;240.0;0.0;0.6;54.0;0.5785714285714285;portrait;long;tilt;0.3709249735617824;12930.602241719162;32596.931526045417;34860.42505457078;0.3388262970303764;20984.99998725319;146686.19186720438;61934.38989587;262.04825803309546;1179.21716114893;60.1423360079961;97.60465110350322
8;1.0;pvt;46.5098019;6.6617476;60.0;240.0;7.0;0.6;54.0;0.5785714285714285;portrait;long;max4dist;0.3741144743288629;13041.789594171469;33512.656531454384;34860.42505457078;0.3394521212776573;21023.760030190577;150806.95439154474;61934.38989587;269.4098142063517;1212.3441639285827;60.65948648451845;97.78493037297942
9;1.0;pvt;46.5098019;6.6617476;60.0;240.0;10.0;0.6;54.0;0.5785714285714285;portrait;long;tilt+10;0.3739985317350267;13037.747786068407;33804.03789917082;34860.42505457078;0.33862047024186187;20972.25223068232;152118.17054626867;61934.38989587;271.75224265770396;1222.885091959668;60.64068737706235;97.54535921247589
10;1.0;pvt;46.5098019;6.6617476;60.0;240.0;20.0;0.8034164641279677;48.0;0.5142857142857142;portrait;long;tilt+20;0.35682545751347866;12439.087119211552;30578.338447873237;34860.42505457078;0.32472777013468707;20111.81632553816;137602.5230154296;61934.38989587;276.5482805363213;1244.467262413446;57.85621915912349;93.54333174668912
11;1.0;pvt;46.5098019;6.6617476;60.0;150.0;0.0;0.6;48.0;0.5142857142857142;portrait;short;tilt;0.3587031607726157;12504.544652951423;28975.050245373703;34860.42505457078;0.331259336034673;20516.34487461846;130387.72610418168;61934.38989587;262.0482580330955;1179.21716114893;58.16067280442522;95.42485988194632
12;1.0;pvt;46.5098019;6.6617476;60.0;150.0;7.0;0.6;48.0;0.5142857142857142;portrait;short;max4dist;0.3607414915306543;12575.601729578453;30011.88191418582;34860.42505457078;0.3331383680607374;20632.721576747554;135053.4686138362;61934.38989587;271.42528862958756;1221.413798833144;58.49117083524862;95.96614686859327
13;1.0;pvt;46.5098019;6.6617476;60.0;150.0;10.0;0.6;48.0;0.5142857142857142;portrait;short;tilt+10;0.36125201545716096;12593.398810657003;30377.653367802395;34860.42505457078;0.3335944622746005;20660.969493618202;136699.4401551108;61934.38989587;274.7332991920114;1236.2998463640513;58.573947956544195;96.09753252845675
14;1.0;pvt;46.5098019;6.6617476;60.0;150.0;20.0;0.8034164641279677;48.0;0.5142857142857142;portrait;short;tilt+20;0.3620137465980576;12619.953082005963;31257.65506951127;34860.42505457078;0.33432762168872354;20706.37727462833;140659.4478128007;61934.38989587;282.6919709128926;1272.1138691080168;58.69745619537657;96.30873150989919
15;2.0;pvt;46.5098019;6.6617476;180.0;90.0;45.0;0.1;220.0;0.8005749279376334;superposed;long;none;0.37606073714134536;26258.32131302059;109280.88726375476;69824.68181237223;0.3300180893950069;57304.69716911694;491763.99268689647;173641.07911226503;228.4549204930615;1028.0471422187766;43.94659659884524;95.90660346064887
